concept,english,hindi_native,hindi_hinglish,urdu_native,urdu_hinglish,bengali_native,bengali_hinglish,tamil_native,tamil_hinglish,telugu_native,telugu_hinglish
lobster,image of a lobster,लॉबस्टर की तस्वीर,lobster ki tasveer,جھینگا مچھلی کی تصویر,jhinga machhli ki tasveer,লবস্টারের ছবি,lobsterer chhobi,லாப்ஸ்டர் படம்,lobster padam,లాబ్స్టర్ చిత్రం,lobster chitram
spider,image of a spider,मकड़ी की तस्वीर,makdi ki tasveer,مکڑی کی تصویر,makdi ki tasveer,মাকড়সার ছবি,makorshar chhobi,சிலந்தி படம்,silandhi padam,సాలీడు చిత్రం,saleedu chitram
worm,image of a worm,केंचुए की तस्वीर,kenchue ki tasveer,کیڑے کی تصویر,keede ki tasveer,কেঁচোর ছবি,kechor chhobi,புழு படம்,puzhu padam,పురుగు చిత్రం,purugu chitram
crocodile,image of a crocodile,मगरमच्छ की तस्वीर,magarmach ki tasveer,مگرمچھ کی تصویر,magarmach ki tasveer,কুমিরের ছবি,kumirer chhobi,முதலை படம்,mudalai padam,మొసలి చిత్రం,mosali chitram
lizard,image of a lizard,छिपकली की तस्वीर,chipkali ki tasveer,چھپکلی کی تصویر,chipkali ki tasveer,টিকটিকির ছবি,tiktikir chhobi,பல்லி படம்,palli padam,బల్లి చిత్రం,balli chitram
dinosaur,image of a dinosaur,डायनासोर की तस्वीर,dinosaur ki tasveer,ڈائناسور کی تصویر,dinosaur ki tasveer,ডাইনোসরের ছবি,dinosorer chhobi,டைனோசர் படம்,dinosaur padam,డైనోసార్ చిత్రం,dinosaur chitram
snake,image of a snake,सांप की तस्वीर,saanp ki tasveer,سانپ کی تصویر,saanp ki tasveer,সাপের ছবি,saper chhobi,பாம்பு படம்,paambu padam,పాము చిత్రం,paamu chitram
turtle,image of a turtle,कछुए की तस्वीर,kachue ki tasveer,کچھوے کی تصویر,kachhue ki tasveer,কচ্ছপের ছবি,kocchoper chhobi,ஆமை படம்,aamai padam,తాబేలు చిత్రం,taabelu chitram
hamster,image of a hamster,हैम्स्टर की तस्वीर,hamster ki tasveer,ہیمسٹر کی تصویر,hamster ki tasveer,হ্যামস্টারের ছবি,hamsterer chhobi,ஹாம்ஸ்டர் படம்,hamster padam,హామ్స్టర్ చిత్రం,hamster chitram
rabbit,image of a rabbit,खरगोश की तस्वीर,khargosh ki tasveer,خرگوش کی تصویر,khargosh ki tasveer,খরগোশের ছবি,khargosher chhobi,முயல் படம்,muyal padam,కుందేలు చిత్రం,kundelu chitram
squirrel,image of a squirrel,गिलहरी की तस्वीर,gilhari ki tasveer,گلہری کی تصویر,gilhari ki tasveer,কাঠবিড়ালের ছবি,kathbiraler chhobi,அணில் படம்,anil padam,ఉడుత చిత్రం,uduta chitram
cloud,image of a cloud,बादल की तस्वीर,baadal ki tasveer,بادل کی تصویر,baadal ki tasveer,মেঘের ছবি,megher chhobi,மேகம் படம்,megam padam,మేఘం చిత్రం,megham chitram
